labels,time,video_id
"[0L, 300L, 308L, 309L, 316L, 327L]",30,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",31,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",32,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",33,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",34,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",35,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",36,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",37,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",38,rmLnozgTQMY
"[0L, 300L, 308L, 309L, 316L, 327L]",39,rmLnozgTQMY
[0L],30,rmWVkb8iv3o
[0L],31,rmWVkb8iv3o
[0L],32,rmWVkb8iv3o
[0L],33,rmWVkb8iv3o
[0L],34,rmWVkb8iv3o
[0L],35,rmWVkb8iv3o
[0L],36,rmWVkb8iv3o
[0L],37,rmWVkb8iv3o
[0L],38,rmWVkb8iv3o
[0L],39,rmWVkb8iv3o
"[0L, 506L]",80,rm8B7DURHlE
"[0L, 506L]",81,rm8B7DURHlE
"[0L, 506L]",82,rm8B7DURHlE
"[0L, 506L]",83,rm8B7DURHlE
"[0L, 506L]",84,rm8B7DURHlE
"[0L, 506L]",85,rm8B7DURHlE
"[0L, 506L]",86,rm8B7DURHlE
"[0L, 506L]",87,rm8B7DURHlE
"[0L, 506L]",88,rm8B7DURHlE
"[0L, 506L]",89,rm8B7DURHlE
"[137L, 250L]",30,rmgvjcsl4lA
"[137L, 250L]",31,rmgvjcsl4lA
"[137L, 250L]",32,rmgvjcsl4lA
"[137L, 250L]",33,rmgvjcsl4lA
"[137L, 250L]",34,rmgvjcsl4lA
"[137L, 250L]",35,rmgvjcsl4lA
"[137L, 250L]",36,rmgvjcsl4lA
"[137L, 250L]",37,rmgvjcsl4lA
"[137L, 250L]",38,rmgvjcsl4lA
"[137L, 250L]",39,rmgvjcsl4lA
"[0L, 137L, 453L]",30,rm3tCafrnFs
"[0L, 137L, 453L]",31,rm3tCafrnFs
"[0L, 137L, 453L]",32,rm3tCafrnFs
"[0L, 137L, 453L]",33,rm3tCafrnFs
"[0L, 137L, 453L]",34,rm3tCafrnFs
"[0L, 137L, 453L]",35,rm3tCafrnFs
"[0L, 137L, 453L]",36,rm3tCafrnFs
"[0L, 137L, 453L]",37,rm3tCafrnFs
"[0L, 137L, 453L]",38,rm3tCafrnFs
"[0L, 137L, 453L]",39,rm3tCafrnFs
[137L],30,rmXOYnFYglc
[137L],31,rmXOYnFYglc
[137L],32,rmXOYnFYglc
[137L],33,rmXOYnFYglc
[137L],34,rmXOYnFYglc
[137L],35,rmXOYnFYglc
[137L],36,rmXOYnFYglc
[137L],37,rmXOYnFYglc
[137L],38,rmXOYnFYglc
[137L],39,rmXOYnFYglc
"[322L, 325L, 396L]",80,rmwTjNW0UGU
"[322L, 325L, 396L]",81,rmwTjNW0UGU
"[322L, 325L, 396L]",82,rmwTjNW0UGU
"[322L, 325L, 396L]",83,rmwTjNW0UGU
"[322L, 325L, 396L]",84,rmwTjNW0UGU
"[322L, 325L, 396L]",85,rmwTjNW0UGU
"[322L, 325L, 396L]",86,rmwTjNW0UGU
"[322L, 325L, 396L]",87,rmwTjNW0UGU
"[322L, 325L, 396L]",88,rmwTjNW0UGU
"[322L, 325L, 396L]",89,rmwTjNW0UGU
[300L],13,rmFlwz9XbS8
[300L],14,rmFlwz9XbS8
[300L],15,rmFlwz9XbS8
[300L],16,rmFlwz9XbS8
[300L],17,rmFlwz9XbS8
[300L],18,rmFlwz9XbS8
[300L],19,rmFlwz9XbS8
[300L],20,rmFlwz9XbS8
[300L],21,rmFlwz9XbS8
[300L],22,rmFlwz9XbS8
"[27L, 30L]",230,rmfPupg55pE
"[27L, 30L]",231,rmfPupg55pE
"[27L, 30L]",232,rmfPupg55pE
"[27L, 30L]",233,rmfPupg55pE
"[27L, 30L]",234,rmfPupg55pE
"[27L, 30L]",235,rmfPupg55pE
"[27L, 30L]",236,rmfPupg55pE
"[27L, 30L]",237,rmfPupg55pE
"[27L, 30L]",238,rmfPupg55pE
"[27L, 30L]",239,rmfPupg55pE
[137L],30,rmwYDBrj3PE
[137L],31,rmwYDBrj3PE
[137L],32,rmwYDBrj3PE
[137L],33,rmwYDBrj3PE
[137L],34,rmwYDBrj3PE
[137L],35,rmwYDBrj3PE
[137L],36,rmwYDBrj3PE
[137L],37,rmwYDBrj3PE
[137L],38,rmwYDBrj3PE
[137L],39,rmwYDBrj3PE
[0L],30,rmLUtjQyafU
[0L],31,rmLUtjQyafU
[0L],32,rmLUtjQyafU
[0L],33,rmLUtjQyafU
[0L],34,rmLUtjQyafU
[0L],35,rmLUtjQyafU
[0L],36,rmLUtjQyafU
[0L],37,rmLUtjQyafU
[0L],38,rmLUtjQyafU
[0L],39,rmLUtjQyafU
"[137L, 260L]",20,rm2tzcwggRY
"[137L, 260L]",21,rm2tzcwggRY
"[137L, 260L]",22,rm2tzcwggRY
"[137L, 260L]",23,rm2tzcwggRY
"[137L, 260L]",24,rm2tzcwggRY
"[137L, 260L]",25,rm2tzcwggRY
"[137L, 260L]",26,rm2tzcwggRY
"[137L, 260L]",27,rm2tzcwggRY
"[137L, 260L]",28,rm2tzcwggRY
"[137L, 260L]",29,rm2tzcwggRY
[137L],30,rmgTpvu9HfM
[137L],31,rmgTpvu9HfM
[137L],32,rmgTpvu9HfM
[137L],33,rmgTpvu9HfM
[137L],34,rmgTpvu9HfM
[137L],35,rmgTpvu9HfM
[137L],36,rmgTpvu9HfM
[137L],37,rmgTpvu9HfM
[137L],38,rmgTpvu9HfM
[137L],39,rmgTpvu9HfM
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",30,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",31,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",32,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",33,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",34,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",35,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",36,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",37,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",38,rmitJbV_JnA
"[0L, 137L, 138L, 161L, 162L, 164L, 168L]",39,rmitJbV_JnA
"[0L, 69L]",40,rmfebxg-k2Y
"[0L, 69L]",41,rmfebxg-k2Y
"[0L, 69L]",42,rmfebxg-k2Y
"[0L, 69L]",43,rmfebxg-k2Y
"[0L, 69L]",44,rmfebxg-k2Y
"[0L, 69L]",45,rmfebxg-k2Y
"[0L, 69L]",46,rmfebxg-k2Y
"[0L, 69L]",47,rmfebxg-k2Y
"[0L, 69L]",48,rmfebxg-k2Y
"[0L, 69L]",49,rmfebxg-k2Y
"[0L, 137L]",30,rmSp_7kGTiM
"[0L, 137L]",31,rmSp_7kGTiM
"[0L, 137L]",32,rmSp_7kGTiM
"[0L, 137L]",33,rmSp_7kGTiM
"[0L, 137L]",34,rmSp_7kGTiM
"[0L, 137L]",35,rmSp_7kGTiM
"[0L, 137L]",36,rmSp_7kGTiM
"[0L, 137L]",37,rmSp_7kGTiM
"[0L, 137L]",38,rmSp_7kGTiM
"[0L, 137L]",39,rmSp_7kGTiM
[304L],30,rmB71qaXQHk
[304L],31,rmB71qaXQHk
[304L],32,rmB71qaXQHk
[304L],33,rmB71qaXQHk
[304L],34,rmB71qaXQHk
[304L],35,rmB71qaXQHk
[304L],36,rmB71qaXQHk
[304L],37,rmB71qaXQHk
[304L],38,rmB71qaXQHk
[304L],39,rmB71qaXQHk
[510L],30,rmOHEBQv7dA
[510L],31,rmOHEBQv7dA
[510L],32,rmOHEBQv7dA
[510L],33,rmOHEBQv7dA
[510L],34,rmOHEBQv7dA
[510L],35,rmOHEBQv7dA
[510L],36,rmOHEBQv7dA
[510L],37,rmOHEBQv7dA
[510L],38,rmOHEBQv7dA
[510L],39,rmOHEBQv7dA
"[0L, 137L]",30,rmXYL41boWA
"[0L, 137L]",31,rmXYL41boWA
"[0L, 137L]",32,rmXYL41boWA
"[0L, 137L]",33,rmXYL41boWA
"[0L, 137L]",34,rmXYL41boWA
"[0L, 137L]",35,rmXYL41boWA
"[0L, 137L]",36,rmXYL41boWA
"[0L, 137L]",37,rmXYL41boWA
"[0L, 137L]",38,rmXYL41boWA
"[0L, 137L]",39,rmXYL41boWA
[137L],150,rmSSS4aOI44
[137L],151,rmSSS4aOI44
[137L],152,rmSSS4aOI44
[137L],153,rmSSS4aOI44
[137L],154,rmSSS4aOI44
[137L],155,rmSSS4aOI44
[137L],156,rmSSS4aOI44
[137L],157,rmSSS4aOI44
[137L],158,rmSSS4aOI44
[137L],159,rmSSS4aOI44
[137L],30,rmrwlbytmXg
[137L],31,rmrwlbytmXg
[137L],32,rmrwlbytmXg
[137L],33,rmrwlbytmXg
[137L],34,rmrwlbytmXg
[137L],35,rmrwlbytmXg
[137L],36,rmrwlbytmXg
[137L],37,rmrwlbytmXg
