,1,2,3,4,5,6,7,group
059152_0418,accordion,bagpipes,violin,synthesizer,organ,piano,voice,0.0
065912_0529,accordion,clarinet,voice,violin,guitar,drums,flute,1.0
014572_0084,accordion,drums,guitar,voice,synthesizer,violin,piano,2.0
012740_0058,accordion,drums,organ,piano,trumpet,voice,synthesizer,3.0
038527_0022,accordion,drums,organ,voice,guitar,trumpet,saxophone,4.0
153319_0430,accordion,drums,voice,violin,trumpet,guitar,trombone,5.0
014814_0074,accordion,guitar,cello,bass,organ,piano,synthesizer,6.0
062274_0206,accordion,guitar,piano,organ,synthesizer,cello,voice,7.0
148480_0002,accordion,guitar,synthesizer,voice,violin,harmonica,saxophone,8.0
060862_0090,accordion,guitar,voice,organ,violin,trumpet,trombone,9.0
027781_0222,accordion,guitar,voice,saxophone,ukulele,piano,violin,10.0
061462_0290,accordion,harmonica,drums,synthesizer,violin,piano,guitar,11.0
152420_0139,accordion,harmonica,guitar,violin,organ,piano,voice,12.0
021000_0180,accordion,harmonica,piano,guitar,synthesizer,voice,violin,13.0
127365_0113,accordion,harmonica,synthesizer,violin,bagpipes,organ,voice,14.0
031336_0001,accordion,harmonica,violin,drums,bagpipes,guitar,synthesizer,15.0
012476_0033,accordion,harmonica,violin,saxophone,trumpet,synthesizer,piano,16.0
120734_0247,accordion,mallet_percussion,synthesizer,drums,voice,violin,piano,17.0
013391_0078,accordion,organ,violin,harmonica,synthesizer,cello,piano,18.0
131363_0078,accordion,organ,violin,synthesizer,piano,drums,voice,19.0
056131_0218,accordion,saxophone,trumpet,trombone,voice,violin,guitar,20.0
112354_0058,accordion,saxophone,violin,harmonica,voice,guitar,piano,21.0
125052_0137,accordion,saxophone,voice,harmonica,bagpipes,synthesizer,violin,22.0
017016_0139,accordion,synthesizer,bagpipes,voice,guitar,piano,drums,23.0
149040_0386,accordion,synthesizer,drums,cello,violin,bass,organ,24.0
021710_0055,accordion,synthesizer,drums,voice,violin,harmonica,piano,25.0
152697_0002,accordion,synthesizer,harmonica,guitar,violin,piano,voice,26.0
133993_0150,accordion,synthesizer,organ,cello,violin,piano,harmonica,27.0
127870_0040,accordion,synthesizer,violin,piano,organ,trombone,trumpet,28.0
089557_0127,accordion,trombone,trumpet,violin,voice,harmonica,drums,29.0
120725_0026,accordion,trombone,violin,trumpet,saxophone,piano,organ,30.0
010485_0004,accordion,trumpet,synthesizer,trombone,organ,violin,cello,31.0
027172_0022,accordion,violin,bagpipes,voice,cello,piano,organ,32.0
020660_1447,accordion,violin,guitar,harmonica,saxophone,voice,piano,33.0
014282_0241,accordion,violin,harmonica,synthesizer,voice,piano,drums,34.0
154460_0286,accordion,violin,harmonica,voice,synthesizer,organ,piano,35.0
136790_0019,accordion,violin,synthesizer,guitar,drums,voice,piano,36.0
146563_0171,accordion,violin,synthesizer,harmonica,guitar,organ,piano,37.0
085973_0026,accordion,violin,synthesizer,trumpet,organ,piano,trombone,38.0
086165_0250,accordion,violin,voice,bagpipes,guitar,organ,drums,39.0
021969_0077,accordion,violin,voice,harmonica,flute,piano,organ,40.0
019301_0101,accordion,violin,voice,organ,trombone,piano,cello,41.0
056126_0187,accordion,violin,voice,trumpet,flute,guitar,drums,42.0
111052_0091,accordion,voice,drums,violin,trumpet,guitar,trombone,43.0
031342_0144,accordion,voice,guitar,drums,saxophone,organ,trumpet,44.0
004513_0538,accordion,voice,guitar,violin,drums,organ,bass,45.0
139467_0185,accordion,voice,guitar,violin,synthesizer,ukulele,drums,46.0
127868_0018,accordion,voice,harmonica,guitar,synthesizer,violin,piano,47.0
152424_0157,accordion,voice,harmonica,violin,guitar,drums,piano,48.0
127364_0082,accordion,voice,violin,bagpipes,guitar,synthesizer,piano,49.0
080749_0034,accordion,voice,violin,drums,guitar,harmonica,piano,50.0
115954_0184,accordion,voice,violin,guitar,cello,bass,piano,51.0
115952_0265,accordion,voice,violin,harmonica,guitar,piano,synthesizer,52.0
094448_0191,bagpipes,accordion,violin,organ,harmonica,drums,piano,53.0
008520_2633,bagpipes,drums,cymbals,guitar,violin,voice,bass,54.0
041608_0070,bagpipes,drums,guitar,synthesizer,mallet_percussion,voice,trumpet,55.0
072361_0021,bagpipes,drums,harmonica,synthesizer,violin,guitar,voice,56.0
028643_0515,bagpipes,drums,synthesizer,guitar,voice,piano,violin,57.0
097701_0210,bagpipes,drums,synthesizer,violin,guitar,voice,piano,58.0
054345_0095,bagpipes,drums,voice,cello,mallet_percussion,guitar,bass,59.0
036803_0094,bagpipes,drums,voice,guitar,synthesizer,piano,cymbals,60.0
035367_0328,bagpipes,drums,voice,violin,accordion,organ,guitar,61.0
116145_0711,bagpipes,guitar,drums,synthesizer,voice,bass,piano,62.0
098287_0583,bagpipes,guitar,drums,voice,bass,synthesizer,violin,63.0
006727_0054,bagpipes,guitar,drums,voice,organ,bass,synthesizer,64.0
055326_0133,bagpipes,guitar,mallet_percussion,voice,violin,drums,synthesizer,65.0
105927_0248,bagpipes,guitar,organ,synthesizer,harmonica,violin,voice,66.0
078214_0785,bagpipes,guitar,voice,drums,synthesizer,violin,cymbals,67.0
116548_0017,bagpipes,guitar,voice,drums,synthesizer,violin,trumpet,68.0
121222_1119,bagpipes,guitar,voice,synthesizer,drums,violin,piano,69.0
043699_0082,bagpipes,guitar,voice,violin,clarinet,synthesizer,drums,70.0
143230_0012,bagpipes,guitar,voice,violin,drums,harmonica,flute,71.0
073050_0251,bagpipes,harmonica,accordion,violin,organ,synthesizer,piano,72.0
013031_0596,bagpipes,harmonica,synthesizer,accordion,guitar,voice,drums,73.0
146572_0105,bagpipes,mallet_percussion,voice,flute,guitar,violin,synthesizer,74.0
144961_0134,bagpipes,synthesizer,drums,guitar,piano,voice,harmonica,75.0
123673_0097,bagpipes,synthesizer,drums,guitar,voice,piano,bass,76.0
041804_0106,bagpipes,synthesizer,drums,guitar,voice,violin,saxophone,77.0
130378_0117,bagpipes,synthesizer,drums,voice,guitar,bass,cello,78.0
001309_0116,bagpipes,synthesizer,drums,voice,guitar,piano,bass,79.0
139436_1685,bagpipes,synthesizer,guitar,drums,piano,violin,organ,80.0
015383_0035,bagpipes,synthesizer,guitar,drums,voice,violin,accordion,81.0
137406_0046,bagpipes,synthesizer,piano,organ,violin,drums,trumpet,82.0
028255_0091,bagpipes,synthesizer,voice,drums,guitar,violin,piano,83.0
060844_0005,bagpipes,violin,drums,voice,guitar,harmonica,piano,84.0
097654_0050,bagpipes,violin,flute,saxophone,trumpet,voice,drums,85.0
151722_0239,bagpipes,violin,harmonica,organ,cello,piano,guitar,86.0
127878_0426,bagpipes,violin,harmonica,voice,guitar,drums,accordion,87.0
151276_0082,bagpipes,violin,organ,voice,guitar,accordion,piano,88.0
134010_0248,bagpipes,violin,synthesizer,drums,voice,harmonica,trumpet,89.0
013073_0095,bagpipes,violin,trumpet,synthesizer,saxophone,guitar,drums,90.0
134696_0039,bagpipes,violin,voice,flute,drums,organ,harmonica,91.0
081747_0009,bagpipes,violin,voice,guitar,piano,organ,bass,92.0
151201_0024,bagpipes,violin,voice,saxophone,trumpet,trombone,harmonica,93.0
151854_0253,bagpipes,voice,drums,guitar,synthesizer,violin,piano,94.0
134226_0313,bagpipes,voice,drums,synthesizer,guitar,mallet_percussion,violin,95.0
060847_0024,bagpipes,voice,drums,violin,guitar,flute,mallet_percussion,96.0
061144_0399,bagpipes,voice,guitar,drums,bass,synthesizer,violin,97.0
052716_0027,bagpipes,voice,guitar,drums,synthesizer,violin,bass,98.0
062434_0136,bagpipes,voice,guitar,violin,organ,harmonica,drums,99.0
137066_0177,bagpipes,voice,synthesizer,drums,guitar,piano,organ,100.0
084537_0275,bagpipes,voice,synthesizer,drums,guitar,violin,piano,101.0
032897_0112,bagpipes,voice,synthesizer,drums,harmonica,guitar,violin,102.0
048450_0104,bagpipes,voice,synthesizer,drums,trumpet,guitar,piano,103.0
146751_0023,bagpipes,voice,synthesizer,violin,guitar,drums,trumpet,104.0
084450_0012,bagpipes,voice,violin,drums,synthesizer,piano,guitar,105.0
027817_0223,bagpipes,voice,violin,guitar,drums,synthesizer,piano,106.0
134388_0072,bagpipes,voice,violin,piano,synthesizer,guitar,organ,107.0
150154_0090,bagpipes,voice,violin,synthesizer,drums,piano,guitar,108.0
040302_0089,banjo,guitar,drums,voice,synthesizer,saxophone,piano,109.0
036358_0030,banjo,guitar,mandolin,ukulele,voice,violin,bass,110.0
030504_0641,banjo,guitar,mandolin,ukulele,voice,violin,drums,111.0
036353_0124,banjo,guitar,ukulele,mandolin,violin,voice,bass,112.0
109171_0180,banjo,guitar,ukulele,voice,mandolin,harmonica,violin,113.0
022059_0048,banjo,guitar,voice,drums,mallet_percussion,piano,synthesizer,114.0
105878_0624,banjo,guitar,voice,violin,mandolin,ukulele,bass,115.0
036351_0154,banjo,mandolin,guitar,ukulele,drums,violin,synthesizer,116.0
036363_0142,banjo,mandolin,guitar,ukulele,voice,violin,drums,117.0
120936_0101,banjo,ukulele,guitar,voice,violin,mandolin,bass,118.0
120487_0058,banjo,voice,guitar,drums,ukulele,violin,mandolin,119.0
055777_0133,bass,cello,drums,guitar,voice,violin,synthesizer,120.0
142326_0033,bass,guitar,synthesizer,voice,trombone,drums,cello,121.0
047669_0271,cello,accordion,saxophone,bass,guitar,violin,clarinet,122.0
134090_0433,cello,accordion,violin,voice,saxophone,synthesizer,organ,123.0
014788_0076,cello,bass,guitar,organ,piano,violin,voice,124.0
130535_0885,cello,bass,guitar,synthesizer,violin,drums,piano,125.0
108544_0016,cello,bass,guitar,violin,synthesizer,voice,drums,126.0
012104_0482,cello,bass,guitar,voice,drums,violin,synthesizer,127.0
009332_0128,cello,bass,guitar,voice,synthesizer,drums,violin,128.0
004756_0081,cello,bass,guitar,voice,synthesizer,drums,violin,128.0
064393_0488,cello,bass,saxophone,guitar,voice,synthesizer,drums,129.0
061645_0332,cello,bass,synthesizer,guitar,violin,voice,flute,130.0
049045_0069,cello,bass,trombone,guitar,synthesizer,trumpet,voice,131.0
066695_0425,cello,bass,violin,guitar,piano,voice,clarinet,132.0
057616_0127,cello,bass,violin,synthesizer,voice,guitar,organ,133.0
097641_0675,cello,bass,voice,guitar,drums,synthesizer,saxophone,134.0
107000_0504,cello,bass,voice,organ,violin,piano,accordion,135.0
065962_0318,cello,drums,synthesizer,bass,guitar,piano,organ,136.0
141588_0349,cello,drums,voice,bass,synthesizer,guitar,violin,137.0
075454_0055,cello,drums,voice,violin,organ,synthesizer,guitar,138.0
066546_0047,cello,guitar,bass,drums,voice,synthesizer,violin,139.0
143387_0157,cello,guitar,bass,violin,synthesizer,drums,voice,140.0
025209_0251,cello,guitar,bass,violin,synthesizer,voice,piano,141.0
151839_0508,cello,guitar,bass,violin,voice,organ,synthesizer,142.0
099059_0168,cello,guitar,bass,voice,piano,synthesizer,violin,143.0
075917_0028,cello,guitar,drums,bass,violin,voice,trombone,144.0
141090_0147,cello,guitar,drums,voice,bass,synthesizer,violin,145.0
119240_0167,cello,guitar,drums,voice,bass,synthesizer,violin,145.0
015084_0150,cello,guitar,mallet_percussion,violin,synthesizer,voice,drums,146.0
130609_0042,cello,guitar,synthesizer,violin,voice,flute,piano,147.0
022487_0000,cello,guitar,synthesizer,voice,bass,violin,drums,148.0
150194_0002,cello,guitar,violin,bass,voice,synthesizer,drums,149.0
141198_0068,cello,guitar,violin,drums,bass,trombone,mandolin,150.0
113205_0256,cello,guitar,violin,flute,clarinet,organ,bass,151.0
056818_0002,cello,guitar,violin,synthesizer,voice,drums,bass,152.0
139637_0312,cello,guitar,violin,voice,bass,drums,synthesizer,153.0
020329_0179,cello,organ,synthesizer,guitar,voice,violin,bass,154.0
043344_0021,cello,piano,bass,guitar,voice,violin,organ,155.0
045109_0320,cello,piano,guitar,bass,voice,violin,synthesizer,156.0
104116_0121,cello,saxophone,guitar,bass,synthesizer,violin,drums,157.0
047668_0085,cello,saxophone,violin,bagpipes,bass,voice,guitar,158.0
083811_0251,cello,saxophone,violin,bass,guitar,trombone,voice,159.0
